Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,0.01,0.61,0.31713636927352074
75% Corpus,5,0.01,0.91,0.31326900433900035
75% Corpus,5,0.31,symmetric,0.32082745664409495
75% Corpus,5,0.31,0.01,0.3141725717954834
75% Corpus,5,0.31,0.31,0.3203952059224112
75% Corpus,5,0.31,0.61,0.3193974961602467
75% Corpus,5,0.31,0.91,0.3224814260230139
75% Corpus,5,0.61,symmetric,0.3247976443905479
75% Corpus,5,0.61,0.01,0.3148099517899524
75% Corpus,5,0.61,0.31,0.31085293307466116
75% Corpus,5,0.61,0.61,0.3120675189742962
75% Corpus,5,0.61,0.91,0.31640684093541094
75% Corpus,5,0.91,symmetric,0.3264490763379042
75% Corpus,5,0.91,0.01,0.32190083332854724
75% Corpus,5,0.91,0.31,0.3159865821426715
75% Corpus,5,0.91,0.61,0.3185640514162641
75% Corpus,5,0.91,0.91,0.3183602929618729
75% Corpus,6,symmetric,symmetric,0.32272988804839725
75% Corpus,6,symmetric,0.01,0.32006959618320846
75% Corpus,6,symmetric,0.31,0.3234118956139848
75% Corpus,6,symmetric,0.61,0.31758962330716173
75% Corpus,6,symmetric,0.91,0.3186521168144763
75% Corpus,6,asymmetric,symmetric,0.31767718297457975
75% Corpus,6,asymmetric,0.01,0.3184479506950177
75% Corpus,6,asymmetric,0.31,0.32784635976347093
75% Corpus,6,asymmetric,0.61,0.31680171692655174
75% Corpus,6,asymmetric,0.91,0.3190040100271676
75% Corpus,6,0.01,symmetric,0.318980753465274
75% Corpus,6,0.01,0.01,0.32900751663643685
75% Corpus,6,0.01,0.31,0.31907853787387924
75% Corpus,6,0.01,0.61,0.3189150253979293
75% Corpus,6,0.01,0.91,0.32156015226943796
75% Corpus,6,0.31,symmetric,0.3188409321453454
75% Corpus,6,0.31,0.01,0.32108900036711097
75% Corpus,6,0.31,0.31,0.3139567454650676
75% Corpus,6,0.31,0.61,0.32063135640011714
75% Corpus,6,0.31,0.91,0.3207766129072173
75% Corpus,6,0.61,symmetric,0.32367727071669067
75% Corpus,6,0.61,0.01,0.3154489337696838
75% Corpus,6,0.61,0.31,0.3168175035318051
75% Corpus,6,0.61,0.61,0.32243911984464657
75% Corpus,6,0.61,0.91,0.31406512559739364
75% Corpus,6,0.91,symmetric,0.3223162702922253
75% Corpus,6,0.91,0.01,0.3138249068312353
75% Corpus,6,0.91,0.31,0.3183999822972014
75% Corpus,6,0.91,0.61,0.31446692340641047
75% Corpus,6,0.91,0.91,0.3133706665551291
75% Corpus,7,symmetric,symmetric,0.3183929488287108
75% Corpus,7,symmetric,0.01,0.3218071244385315
75% Corpus,7,symmetric,0.31,0.32536414652569123
75% Corpus,7,symmetric,0.61,0.31843916235723446
75% Corpus,7,symmetric,0.91,0.3250495787052903
75% Corpus,7,asymmetric,symmetric,0.32252803590739604
75% Corpus,7,asymmetric,0.01,0.31922347071059015
75% Corpus,7,asymmetric,0.31,0.3299079401451306
75% Corpus,7,asymmetric,0.61,0.32154173864383717
75% Corpus,7,asymmetric,0.91,0.3251854104154129
75% Corpus,7,0.01,symmetric,0.31583104870790757
75% Corpus,7,0.01,0.01,0.3218767813759663
75% Corpus,7,0.01,0.31,0.3260461398287496
75% Corpus,7,0.01,0.61,0.31532057628139626
75% Corpus,7,0.01,0.91,0.32215861860901196
75% Corpus,7,0.31,symmetric,0.3244444145422404
75% Corpus,7,0.31,0.01,0.32157081271420507
75% Corpus,7,0.31,0.31,0.3231616359658259
75% Corpus,7,0.31,0.61,0.32638218844600597
75% Corpus,7,0.31,0.91,0.3184483634097687
75% Corpus,7,0.61,symmetric,0.3200302516111776
75% Corpus,7,0.61,0.01,0.32449839073668973
75% Corpus,7,0.61,0.31,0.3189798532328103
75% Corpus,7,0.61,0.61,0.3142330232094414
75% Corpus,7,0.61,0.91,0.31475369127960484
75% Corpus,7,0.91,symmetric,0.31552534303985463
75% Corpus,7,0.91,0.01,0.32200991270294066
75% Corpus,7,0.91,0.31,0.31578645132016003
75% Corpus,7,0.91,0.61,0.319397776011635
