Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,10,symmetric,0.31,0.42867091228785326
100% Corpus,10,symmetric,0.61,0.43600336402018075
100% Corpus,10,symmetric,0.91,0.43379510763729695
100% Corpus,10,asymmetric,symmetric,0.43652286760790354
100% Corpus,10,asymmetric,0.01,0.434247158584956
100% Corpus,10,asymmetric,0.31,0.4388645859746155
100% Corpus,10,asymmetric,0.61,0.4457146808192475
100% Corpus,10,asymmetric,0.91,0.4350022385500864
100% Corpus,10,0.01,symmetric,0.43771198917237797
100% Corpus,10,0.01,0.01,0.4436072074397721
100% Corpus,10,0.01,0.31,0.43317114054962486
100% Corpus,10,0.01,0.61,0.43414928224513155
100% Corpus,10,0.01,0.91,0.43864240409787686
100% Corpus,10,0.31,symmetric,0.4287097899120992
100% Corpus,10,0.31,0.01,0.4331828431780491
100% Corpus,10,0.31,0.31,0.4366163082761808
100% Corpus,10,0.31,0.61,0.43989600978182863
100% Corpus,10,0.31,0.91,0.4421186958067377
100% Corpus,10,0.61,symmetric,0.4326935679218639
100% Corpus,10,0.61,0.01,0.4339924724055247
100% Corpus,10,0.61,0.31,0.44029172738774636
100% Corpus,10,0.61,0.61,0.435391654395204
100% Corpus,10,0.61,0.91,0.43687523373677645
100% Corpus,10,0.91,symmetric,0.4377903268041294
100% Corpus,10,0.91,0.01,0.4380507132350743
100% Corpus,10,0.91,0.31,0.4398392735339075
100% Corpus,10,0.91,0.61,0.4354262582284248
100% Corpus,10,0.91,0.91,0.4385453012668413
